Equation 1,Equation 2,Value of X,Value of Y
17x + y = 122,18x + 16y = 174,7,3
9x + 9y = 9,20x + 20y = 20,3,-2
18x + 9y = 54,14x + y = 30,2,2
5x - 8y = -77,8x + 15y = 266,7,14
5x + 19y = -36,2x + 13y = -36,8,-4
3x - 10y = -68,17x + 16y = 196,4,8
5x + 19y = 126,2x + 7y = 48,10,4
19x - 6y = 213,20x + 3y = 336,15,12
2x + 12y = 68,18x + 10y = 220,10,4
3x + 7y = 85,2x + 6y = 70,5,10
17x - 16y = 90,16x + 14y = 230,10,5
17x - 17y = 102,9x + 9y = 216,15,9
20x + 6y = 256,5x + 2y = 62,14,-4
19x + 3y = 85,14x + 9y = 83,4,3
4x + 12y = 48,18x + 12y = 132,6,2
6x + 6y = 42,4x + y = 22,5,2
2x + 20y = -42,7x + 7y = 42,9,-3
12x + 17y = 191,7x + 11y = 119,6,7
7x + 13y = 48,17x + 17y = 102,5,1
18x + 14y = 158,18x + 17y = 161,8,1
5x + 8y = 104,10x + 7y = 136,8,8
3x - 16y = -218,6x + 5y = 82,2,14
8x + 5y = 85,6x + 2y = 62,10,1
11x + 10y = 199,15x + 13y = 265,9,10
7x + 15y = 156,10x + 2y = 48,3,9
5x - 5y = 10,15x + 20y = 415,13,11
12x + 18y = -36,15x + 17y = -1,9,-8
18x - 8y = 82,18x + 16y = 106,5,1
16x + 3y = 156,8x + 9y = 108,9,4
20x - 13y = 35,3x + 10y = 65,5,5
13x - 10y = -68,16x + 12y = 208,4,12
15x + 4y = 158,7x + y = 72,10,2
7x - 7y = 14,9x + 2y = 95,9,7
8x - 9y = 46,12x + 11y = 118,8,2
13x + 5y = 144,13x + y = 112,8,8
11x + 7y = 18,4x + 8y = 12,1,1
15x + 3y = 180,8x + 8y = 32,14,-10
20x + 20y = 300,12x + 19y = 229,8,7
8x + 3y = 83,19x + 16y = 135,13,-7
11x - 17y = -155,7x + 14y = 224,6,13
7x + 18y = -124,17x + 7y = 66,8,-10
14x + 19y = 235,3x + 9y = 75,10,5
19x - 17y = -96,6x + 20y = 198,3,9
5x + 11y = 82,7x + 13y = 98,1,7
17x + 7y = 12,5x + 9y = -52,4,-8
15x + 18y = 132,16x + 8y = 96,4,4
10x + 17y = 64,2x + 3y = 12,3,2
4x + 4y = 20,8x + 18y = 60,3,2
2x + 19y = 92,5x + 17y = 108,8,4
9x - 14y = 11,9x + 11y = 136,9,5
15x + 7y = 211,15x + 19y = 187,15,-2
19x + 8y = 156,13x + 10y = 152,4,10
5x - 7y = -29,15x + 11y = 297,11,12
6x + 19y = 138,7x + 2y = 40,4,6
7x + 13y = 59,7x + 13y = 59,1,4
10x - 16y = -62,17x + 8y = 141,5,7
11x + 10y = 199,4x + 13y = 166,9,10
4x + 3y = 36,2x + 20y = -130,15,-8
14x - 7y = -49,8x + 9y = 141,3,13
8x + 3y = 43,14x + 18y = -14,8,-7
19x + 12y = 117,14x + 7y = 77,3,5
14x - 8y = -4,16x + 4y = 48,2,4
5x - 13y = -48,9x + 20y = 174,6,6
15x - 13y = 104,12x + 14y = 254,13,7
5x - 16y = 7,10x + 16y = 158,11,3
6x + 4y = 8,13x + 12y = 14,2,-1
15x + 7y = 88,20x + 16y = 144,4,4
16x + 2y = 62,8x + 15y = -95,5,-9
11x - 5y = 45,11x + 17y = 331,10,13
18x + 16y = 128,20x + 6y = 154,8,-1
11x - 2y = 130,18x + 4y = 300,14,12
18x - 8y = 238,9x + 2y = 143,15,4
13x + 13y = 156,19x + 8y = 195,9,3
5x + 20y = -150,10x + 9y = -21,6,-9
8x + 2y = 42,6x + y = 27,3,9
7x + 16y = 182,12x + 17y = 239,10,7
2x + 7y = 18,10x + 11y = 42,2,2
4x + 5y = 57,18x + 18y = 234,8,5
18x + 12y = 126,11x + 8y = 75,9,-3
16x + 13y = 178,11x + 19y = 223,3,10
11x + 3y = 49,x + 4y = 38,2,9
14x + 5y = 185,7x + 19y = 241,10,9
6x + 3y = 21,14x + 18y = -50,8,-9
6x + 10y = 106,14x + 12y = 134,1,10
19x - 11y = 69,9x + 20y = 310,10,11
4x - 14y = -60,11x + 6y = 102,6,6
16x - 11y = 35,7x + 3y = 70,7,7
5x - 13y = -103,18x + 2y = 166,8,11
12x + 16y = 116,20x + 12y = 164,7,2
19x + 9y = 280,4x + 17y = 210,10,10
11x + 14y = 90,6x + 19y = 15,12,-3
3x - 9y = 15,3x + 3y = 51,14,3
14x + 20y = 210,2x + 12y = 94,5,7
14x + 15y = 247,x + 9y = 89,8,9
16x + 7y = 44,6x + 11y = 50,1,4
15x + 19y = 154,10x + 14y = 104,9,1
19x + 2y = 80,7x + 16y = 60,4,2
15x + 16y = 31,6x + 6y = 12,1,1
15x + y = 64,11x + 16y = 108,4,4
18x + 3y = 123,17x + 17y = 187,6,5
14x + 3y = 45,15x + 7y = 52,3,1
17x + 11y = -76,8x + 15y = -134,2,-10
19x + 9y = 105,3x + 9y = 9,6,-1
19x + 16y = 146,6x + 9y = 54,6,2
2x - 7y = 0,15x + 5y = 230,14,4
7x + 12y = 162,14x + 10y = 184,6,10
8x + 14y = 136,4x + y = 44,10,4
6x + 2y = 44,12x + 11y = 74,8,-2
6x + 16y = 172,8x + 16y = 176,2,10
13x + 10y = 123,12x + 10y = 112,11,-2
8x + 19y = -118,13x + 19y = -73,9,-10
14x - 6y = -32,10x + 12y = 140,2,10
20x + 8y = 132,20x + 7y = 128,5,4
4x + 6y = 64,19x + 14y = 188,4,8
16x - 16y = -48,8x + 7y = 141,8,11
2x + 14y = -26,16x + 11y = 95,8,-3
x + 9y = 22,3x + 16y = 44,4,2
8x + 3y = 33,12x + 4y = 48,3,3
13x + 5y = 56,3x + 8y = 54,2,6
9x - 14y = 9,15x + 3y = 252,15,9
6x + 3y = -15,16x + 9y = -47,1,-7
x + 15y = 113,8x + 15y = 169,8,7
16x - 13y = 134,12x + 8y = 136,10,2
4x + 3y = -3,13x + 18y = -51,3,-5
10x + 6y = 102,16x + 18y = 222,6,7
19x + 17y = -81,15x + 16y = -82,2,-7
12x + 11y = 183,7x + 8y = 121,7,9
13x + 6y = 62,20x + 8y = 88,2,6
4x + 8y = -20,5x + 20y = -115,13,-9
4x + 19y = 17,11x + 9y = 90,9,-1
7x + y = 59,11x + 19y = 145,8,3
11x + 5y = 135,19x + 14y = 201,15,-6
5x + 11y = 75,17x + 18y = 158,4,5
6x + 2y = 58,2x + 14y = 86,8,5
5x + 15y = 105,9x + 5y = 79,6,5
2x - 9y = -55,19x + 16y = 188,4,7
20x + 5y = 95,18x + 8y = 82,5,-1
4x + 9y = 93,10x + 9y = 111,3,9
20x + 5y = 125,15x + 2y = 106,8,-7
10x - 4y = 6,18x + 14y = 32,1,1
12x - 13y = 56,20x + 15y = 240,9,4
10x + 13y = 51,3x + 16y = -21,9,-3
10x - 12y = -30,3x + 11y = 210,15,15
5x - 7y = 8,15x + 7y = 52,3,1
18x + 4y = 48,15x + 4y = 42,2,3
10x + 14y = 190,17x + 13y = 215,5,10
12x + 5y = 104,19x + 20y = 213,7,4
5x - 12y = -109,7x + 3y = 85,7,12
11x + 20y = 279,13x + 9y = 198,9,9
3x + 16y = 127,13x + 18y = 191,5,7
12x + 15y = 240,18x + 13y = 284,10,8
3x + 20y = 209,16x + 14y = 188,3,10
2x - 6y = -22,19x + 17y = 87,1,4
11x - 8y = -90,3x + 19y = 272,2,14
19x + 16y = -30,10x + 2y = 42,6,-9
2x - 18y = -56,8x + 3y = 76,8,4
4x + 7y = 29,18x + 15y = 147,9,-1
12x - 6y = -18,5x + 7y = 78,3,9
17x + 15y = 196,18x + 2y = 152,8,4
12x + 14y = -8,10x + 15y = -40,11,-10
6x - 15y = 6,3x + 12y = 42,6,2
13x + 3y = 105,19x + 3y = 141,6,9
19x + 8y = 62,2x + 4y = 16,2,3
17x + 20y = 188,13x + 17y = 154,4,6
17x + 10y = 2,6x + 11y = -74,6,-10
14x + 19y = 184,3x + 2y = 27,5,6
13x + 3y = 118,11x + 13y = 194,7,9
15x - 2y = 86,17x + 6y = 114,6,2
9x + 3y = 60,5x + 15y = 20,7,-1
10x + 6y = 80,20x + 6y = 100,2,10
15x + 20y = 270,11x + 7y = 152,10,6
3x - 3y = 0,8x + 13y = 189,9,9
19x + 5y = 101,17x + 9y = 113,4,5
9x + 10y = 27,16x + 2y = 190,13,-9
13x - 8y = -46,4x + 9y = 89,2,9
6x - 8y = 0,6x + 17y = 225,12,9
18x + 11y = 152,14x + 15y = 144,6,4
8x + 8y = 40,13x + 7y = 53,3,2
8x + 3y = 17,2x + 8y = -32,4,-5
20x + 3y = 26,16x + 2y = 20,1,2
6x + 13y = -51,19x + 11y = 110,11,-9
9x + 5y = 43,13x + 7y = 61,2,5
8x + 17y = 19,3x + 3y = 24,13,-5
14x - 10y = 86,18x + 5y = 182,9,4
4x + 14y = 118,9x + 8y = 101,5,7
9x - 15y = -51,13x + 5y = 193,11,10
6x - 8y = -8,16x + 8y = 96,4,4
17x + 4y = 151,12x + 10y = 164,7,8
11x + 3y = 49,x + 11y = 101,2,9
15x + 6y = 114,12x + 9y = 129,4,9
8x + 20y = 168,7x + 20y = 167,1,8
11x - 12y = 49,16x + 14y = 260,11,6
13x + 8y = 67,20x + 6y = 122,7,-3
8x + 11y = 98,10x + y = 46,4,6
4x + 5y = 54,2x + 20y = 132,6,6
12x - 16y = 76,4x + 13y = 117,13,5
17x - 7y = 12,8x + 16y = 160,4,8
16x + 3y = 52,17x + 2y = 60,4,-4
18x - 3y = 234,6x + 3y = 102,14,6
18x + 4y = 258,11x + 19y = 108,15,-3
4x + 10y = 60,20x + 19y = 238,10,2
2x + 7y = 9,4x + 20y = 12,8,-1
2x + 19y = -81,14x + 7y = 63,7,-5
14x - 13y = 100,16x + 10y = 164,9,2
6x + 5y = 13,14x + 15y = 27,3,-1
18x - 2y = 220,15x + 10y = 265,13,7
15x + 11y = 153,8x + 8y = 88,8,3
7x + y = 29,10x + 6y = 46,4,1
11x - 15y = 102,3x + 12y = 60,12,2
12x - 6y = 42,19x + 18y = 479,11,15
5x + 6y = 110,10x + 15y = 250,10,10
14x + y = 142,3x + 10y = 50,10,2
4x - 7y = -51,14x + 13y = 309,10,13
8x + 9y = 114,8x + 20y = 224,3,10
3x + 3y = 42,2x + 17y = 133,7,7
18x + 15y = 135,6x + 2y = 72,15,-9
12x + 4y = 104,14x + 8y = 148,6,8
19x + 10y = 241,20x + 15y = 285,9,7
7x + 7y = 56,18x + 13y = 109,1,7
15x + 13y = 107,8x + 17y = 47,8,-1
8x + 17y = 37,14x + 20y = 94,11,-3
8x - 7y = 16,17x + 4y = 185,9,8
20x + 8y = 108,2x + 4y = 14,5,1
20x - 3y = 167,19x + 8y = 278,10,11
10x - 11y = 69,20x + 11y = 171,8,1
2x - 16y = -42,18x + 19y = 111,3,3
2x + 9y = 22,15x + 14y = 58,2,2
16x + y = 18,8x + 19y = 46,1,2
5x + y = 30,18x + 19y = 185,5,5
2x + 8y = 54,13x + 16y = 135,3,6
20x + 4y = 68,15x + 12y = -21,5,-8
9x + 6y = 42,7x + 2y = 22,2,4
4x - 13y = -52,2x + 13y = 130,13,8
8x + 12y = 116,15x + 16y = 198,10,3
3x + 9y = -39,9x + 4y = 21,5,-6
2x + 17y = -31,12x + 15y = 75,10,-3
20x + 2y = 66,11x + 16y = -68,4,-7
10x + 18y = 156,10x + 7y = 79,3,7
15x + 12y = 42,11x + 6y = 28,2,1
17x + 16y = 217,6x + y = 58,9,4
9x + 6y = 102,6x + 14y = 58,12,-1
11x + 11y = 187,3x + 17y = 177,8,9
7x + 2y = 52,13x + 16y = 158,6,5
x + 15y = 63,6x + 10y = 58,3,4
6x + 7y = 109,6x + 10y = 130,10,7
12x - 14y = 26,18x + 20y = 244,8,5
15x + 7y = 50,11x + 4y = 31,1,5
19x + 16y = 83,6x + 10y = 46,1,4
19x + 11y = 132,15x + 11y = 88,11,-7
13x - 12y = 47,5x + 16y = 183,11,8
9x + 10y = 133,10x + 18y = 196,7,7
18x - 10y = -6,10x + 5y = 155,8,15
9x - 12y = -78,7x + 16y = 218,6,11
7x + 20y = 127,11x + 6y = 47,1,6
10x - 14y = -190,16x + 4y = 92,2,15
2x - 7y = -59,9x + 9y = 180,9,11
20x + 5y = 95,11x + y = 47,4,3
11x - 5y = 50,19x + 7y = 102,5,1
11x + 15y = 131,6x + 6y = 54,1,8
12x + 8y = 92,5x + 4y = 39,7,1
12x + 12y = 192,2x + 15y = 162,6,10
8x - 5y = 29,10x + 9y = 143,8,7
13x + 10y = 114,10x + 10y = 90,8,1
9x + 6y = 93,8x + 18y = 32,13,-4
20x + 16y = 180,7x + 17y = 177,1,10
2x + 8y = 68,16x + 12y = 128,2,8
19x - 4y = 123,19x + 14y = 339,9,12
17x + 5y = 206,12x + 16y = 108,13,-3
4x + 18y = 110,7x + 12y = 95,5,5
16x + 18y = 100,11x + 6y = 107,13,-6
16x + 20y = 244,16x + 5y = 169,9,5
3x + 20y = 135,6x + 3y = 48,5,6
7x + 8y = 36,10x + 10y = 50,4,1
9x + 19y = -71,13x + 19y = -35,9,-8
9x + 5y = -36,8x + 6y = -46,1,-9
13x - 12y = -41,15x + 4y = 149,7,11
8x - 3y = 74,4x + 2y = 72,13,10
12x + 15y = 231,7x + 8y = 128,8,9
20x + 5y = 25,14x + 20y = 34,1,1
18x + y = 21,16x + 6y = 34,1,3
17x + 17y = 119,16x + 6y = 122,8,-1
10x + 14y = 164,11x + 18y = 196,8,6
5x + 11y = 54,14x + 14y = 84,2,4
x + 6y = 34,7x + 4y = 48,4,5
20x - 12y = 104,9x + 14y = 105,7,3
4x + 17y = 186,11x + 11y = 154,4,10
6x + 20y = 142,14x + 13y = 163,7,5
18x - 14y = 138,14x + 16y = 188,10,3
3x + 10y = 98,8x + 11y = 136,6,8
3x + 2y = 32,15x + 2y = 176,12,-2
10x + 4y = 96,2x + 9y = 93,6,9
14x - 7y = 84,16x + 10y = 348,13,14
11x + 3y = 102,8x + 4y = 76,9,1
12x + 20y = 124,12x + 14y = 112,7,2
8x - 17y = -60,10x + 4y = 26,1,4
10x + 4y = 104,10x + 7y = 122,8,6
16x + 2y = 24,20x + 4y = 24,2,-4
8x + 16y = 240,x + 7y = 80,10,10
12x - 18y = -6,6x + 11y = 137,10,7
7x + 8y = 60,12x + 9y = 84,4,4
10x + 6y = -8,14x + 14y = -28,1,-3
12x + 7y = 171,3x + 15y = 162,9,9
6x + 2y = 52,6x + 8y = 100,6,8
2x + 9y = -56,13x + 14y = -8,8,-8
20x - 4y = 196,8x + 5y = 85,10,1
9x + 10y = 65,4x + 2y = 46,15,-7
12x + 12y = 144,20x + 3y = 172,8,4
18x + 19y = -40,7x + 18y = -58,2,-4
5x + y = 13,3x + 12y = 42,2,3
12x + 16y = 240,12x + 18y = 258,8,9
16x + 10y = 132,11x + 4y = 85,7,2
13x + 5y = 45,20x + 11y = 56,5,-4
12x + 12y = 132,3x + 17y = 145,3,8
6x - 3y = 0,17x + 8y = 99,3,6
5x + 5y = 30,19x + 11y = 170,13,-7
15x - 9y = -30,19x + 6y = 223,7,15
19x + 12y = 88,x + 10y = 14,4,1
8x - 12y = -12,18x + 3y = 63,3,3
10x + 9y = 41,15x + 7y = 68,5,-1
4x - 15y = -157,2x + 7y = 81,2,11
6x + 6y = 66,4x + 2y = 26,2,9
7x + 20y = 3,20x + 10y = 150,9,-3
4x + y = 28,8x + 19y = 124,6,4
18x + 9y = 90,x + 4y = 12,4,2
4x + 8y = 20,7x + 10y = 31,3,1
x + 14y = 49,12x + 20y = 144,7,3
11x + 18y = 124,3x + 11y = 46,8,2
16x + 13y = 131,12x + 13y = 95,9,-1
9x - 15y = -144,10x + 14y = 300,9,15
x + 14y = 20,2x + 5y = 17,6,1
8x + 3y = 52,20x + 9y = 124,8,-4
14x + 10y = 64,16x + y = 21,1,5
10x + 14y = 62,20x + 6y = 58,2,3
6x - 7y = -44,13x + 7y = 215,9,14
15x + 6y = 156,4x + 12y = 104,8,6
17x - 6y = 203,11x + 2y = 149,13,3
7x + 20y = -72,4x + 18y = -74,4,-5
6x + 13y = -43,15x + 19y = -13,8,-7
10x + 17y = 56,3x + 2y = 23,9,-2
16x + 4y = 12,20x + 12y = -20,2,-5
15x - 14y = -62,5x + 18y = 274,8,13
3x + 9y = 30,12x + 8y = 64,4,2
10x + 18y = 38,20x + 6y = 46,2,1
2x + 3y = 8,2x + 16y = 34,1,2
7x - 4y = 60,8x + 8y = 144,12,6
5x + 17y = 95,3x + 7y = 41,2,5
8x + 8y = 24,19x + 18y = 67,13,-10
19x + 12y = 286,13x + 10y = 210,10,8
7x + 11y = 24,14x + 18y = 52,5,-1
12x + 16y = 268,6x + 11y = 164,9,10
12x + 14y = 20,8x + 11y = 0,11,-8
5x + 13y = 72,3x + 13y = 64,4,4
16x + 4y = 44,2x + 19y = 61,2,3
9x - 17y = 118,6x + 19y = 109,15,1
12x + 19y = 35,10x + 13y = 49,14,-7
9x + 12y = 126,11x + 7y = 108,6,6
4x - 2y = 12,16x + 17y = 198,6,6
5x + 17y = -93,2x + 19y = -147,12,-9
14x + 2y = 102,17x + 16y = 151,7,2
19x + 15y = 155,8x + 17y = 108,5,4
17x + 11y = 218,8x + 5y = 101,7,9
17x + 16y = 281,14x + 2y = 142,9,8
11x - 18y = -86,17x + 6y = 70,2,6
3x + 16y = -130,6x + 10y = -40,10,-10
14x + 15y = 216,x + 11y = 75,9,6
8x + 15y = -72,11x + 3y = 42,6,-8
3x + 8y = 68,20x + 4y = 108,4,7
11x - 5y = 117,13x + 17y = 207,12,3
20x + 19y = 117,7x + 15y = 66,3,3
8x - 13y = -65,15x + 6y = 273,13,13
9x - 14y = -99,9x + 7y = 90,3,9
7x - 14y = 63,14x + 11y = 204,13,2
14x + 10y = 130,12x + 8y = 108,5,6
20x + 16y = 220,15x + 13y = 160,15,-5
6x + 5y = 28,2x + 6y = 18,3,2
3x + 8y = 35,8x + 16y = 72,1,4
3x + 5y = 48,9x + 19y = 180,1,9
5x + 16y = 105,19x + y = 100,5,5
11x + 18y = 57,5x + 20y = -45,15,-6
18x + 14y = 32,15x + 4y = 19,1,1
4x - 18y = -174,2x + 2y = 34,6,11
13x + 3y = 147,9x + 3y = 99,12,-3
20x + 6y = 224,7x + 16y = 134,10,4
6x + 18y = -54,8x + 12y = 0,9,-6
10x - 15y = 65,8x + 15y = 187,14,5
2x + 11y = 60,7x + 2y = 64,8,4
17x + 17y = 238,18x + 14y = 212,4,10
6x + 11y = -53,4x + 16y = -96,4,-7
20x + 4y = 84,13x + 17y = 69,4,1
12x - 18y = 54,15x + 16y = 106,6,1
18x + 12y = 24,15x + 9y = 21,2,-1
12x + 14y = 66,14x + 2y = 34,2,3
13x + 12y = 224,8x + 7y = 134,8,10
3x + 20y = -115,4x + 7y = 4,15,-8
5x + 10y = 10,11x + 13y = 49,8,-3
4x - 2y = 22,3x + 17y = 294,13,15
3x + 19y = 126,18x + 3y = 90,4,6
3x + 2y = 16,9x + 13y = 20,8,-4
8x + 9y = 26,2x + 13y = -58,10,-6
18x + 6y = 84,10x + 8y = 70,3,5
6x + 6y = 66,17x + 15y = 167,1,10
14x + 17y = 18,11x + 4y = 89,11,-8
3x + 11y = -45,10x + 19y = -44,7,-6
17x - 16y = 74,10x + 9y = 154,10,6
12x + 4y = 92,19x + 19y = 247,5,8
x + 7y = 62,16x + 7y = 152,6,8
5x - 4y = -32,6x + 12y = 180,4,13
7x + y = 70,7x + 15y = 168,9,7
11x + 18y = 69,x + 3y = 9,3,2
3x - 7y = -19,9x + 18y = 99,3,4
12x + 12y = 12,12x + 10y = 30,10,-9
19x + 19y = 114,15x + 20y = 45,15,-9
15x + 3y = 90,7x + 17y = 120,5,5
10x + 10y = 90,2x + 7y = 53,2,7
7x - 8y = -105,3x + 7y = 101,1,14
6x + 5y = 31,12x + 3y = 111,11,-7
15x + 10y = 140,19x + 8y = 140,4,8
7x + 9y = 16,17x + 6y = 23,1,1
6x + 12y = -24,17x + 5y = 106,8,-6
4x + 6y = 50,8x + 15y = 97,14,-1
12x + 5y = 49,4x + 9y = -35,7,-7
18x + 8y = 118,10x + 10y = 60,7,-1
6x + 7y = 91,9x + 6y = 105,7,7
9x + 14y = -20,7x + 10y = -12,4,-4
9x + 7y = 67,10x + 12y = 104,2,7
11x + 13y = 126,13x + y = 34,2,8
14x + 3y = 142,13x + 5y = 154,8,10
19x - 7y = -72,14x + 3y = 53,1,13
11x + 13y = 6,20x + 7y = 144,10,-8
9x + 16y = -126,11x + 9y = -59,2,-9
2x - 17y = -55,7x + 3y = 120,15,5
4x + 15y = -67,15x + 4y = 10,2,-5
16x + 12y = 92,13x + 16y = 106,2,5
11x + 5y = 123,2x + 20y = -54,13,-4
7x + 18y = -78,6x + 9y = -9,12,-9
12x + 16y = 16,14x + 11y = 57,8,-5
13x + 17y = 128,x + 3y = 20,2,6
14x + 13y = 173,7x + 17y = 181,4,9
5x - 13y = -141,18x + 7y = 138,3,12
4x + 4y = 28,x + 5y = 27,2,5
19x + 4y = 59,14x + 2y = 34,1,10
19x + 18y = -34,19x + 3y = 26,2,-4
3x - 15y = -117,4x + 3y = 51,6,9
13x - 10y = 149,12x + 5y = 166,13,2
20x + 14y = 258,10x + 8y = 136,8,7
18x + 14y = 260,20x + 10y = 250,9,7
5x - 3y = -8,14x + 6y = 64,2,6
20x - 14y = 244,17x + 7y = 283,15,4
3x + 3y = 27,9x + 2y = 67,7,2
19x + 15y = 178,12x + 13y = 123,7,3
15x + 7y = 145,6x + 12y = 12,12,-5
4x + 6y = 46,2x + 10y = 30,10,1
3x - 5y = 40,11x + 3y = 168,15,1
15x + 18y = 330,10x + 4y = 140,10,10
12x + 11y = 125,14x + y = 63,4,7
14x + y = 34,4x + 18y = 116,2,6
4x - 8y = -32,19x + 20y = 312,8,8
3x - 10y = -59,9x + 12y = 159,7,8
10x + 15y = 230,11x + 10y = 188,8,10
13x - 16y = -22,19x + 3y = 47,2,3
18x + 14y = 6,13x + 15y = -25,5,-6
12x + 7y = 104,13x + 15y = 172,4,8
7x + 20y = -95,2x + 8y = -50,15,-10
8x + y = 30,8x + 18y = 132,3,6
12x - 8y = 112,8x + 14y = 152,12,4
11x + 14y = 62,18x + 17y = 131,12,-5
20x + 15y = 275,4x + 7y = 91,7,9
5x + 12y = -45,19x + 19y = 95,15,-10
13x + 12y = 177,4x + 10y = 86,9,5
8x - 16y = 24,5x + 8y = 87,11,4
9x + 9y = 81,6x + 9y = 78,1,8
14x + 19y = 26,13x + 2y = 118,10,-6
x + 4y = 17,19x + 4y = 107,5,3
5x - 14y = -6,6x + 16y = 124,10,4
3x - 10y = -56,14x + 19y = 264,8,8
17x + 9y = 78,14x + 16y = 90,3,3
4x + 18y = 84,9x + 15y = 87,3,4
x + 19y = 104,17x + 16y = 233,9,5
3x - 18y = -213,6x + 15y = 186,1,12
20x + 17y = -30,11x + 9y = -13,7,-10
9x + 13y = 92,18x + 4y = 74,3,5
10x + y = 46,3x + 3y = 30,4,6
14x + 9y = 125,16x + 3y = 121,7,3
15x - 3y = 138,6x + 19y = 338,12,14
4x + 20y = 164,14x + 17y = 203,6,7
11x + 8y = 106,6x + 15y = 111,6,5
6x + 9y = 51,11x + y = 78,7,1
11x + 7y = 47,19x + 10y = 77,3,2
17x + 9y = 182,2x + 20y = 154,7,7
18x + 10y = 84,12x + 7y = 54,8,-6
10x - 13y = -10,13x + 16y = 316,12,10
13x + 15y = 132,6x + 20y = 74,9,1
x + 6y = 31,18x + 16y = 190,7,4
20x + 7y = 231,10x + 18y = 14,14,-7
20x + 10y = 260,12x + 19y = 286,8,10
14x + 20y = 260,3x + 13y = 108,10,6
10x + 7y = 22,9x + 4y = 29,5,-4
3x + 12y = 120,14x + y = 65,4,9
9x + 5y = 71,3x + 3y = 33,4,7
4x + 17y = 54,12x + 16y = 92,5,2
15x + 10y = -55,15x + 17y = -125,3,-10
13x + 11y = 139,16x + 13y = 170,9,2
10x + 5y = 110,12x + 6y = 132,15,-8
10x + 4y = 84,16x + 11y = 139,8,1
8x + 18y = 226,2x + 4y = 52,8,9
15x + 10y = 70,16x + 6y = 56,2,4
2x + y = 7,15x + 11y = 70,1,5
9x + 4y = 104,15x + 9y = 192,8,8
10x + 7y = -29,5x + 9y = -53,2,-7
11x + 13y = 114,20x + 12y = 184,8,2
14x + 13y = 152,16x + 20y = 184,9,2
5x - 11y = -29,2x + 19y = 199,14,9
15x + 2y = 124,17x + 19y = 174,8,2
12x - 3y = 117,6x + 15y = 141,11,5
8x + 14y = 94,17x + 17y = 136,3,5
2x + 13y = -9,14x + 20y = 8,2,-1
10x - 13y = -145,4x + 10y = 170,5,15
14x + 20y = 142,16x + 8y = 88,3,5
7x - 17y = -180,13x + 2y = 35,1,11
9x + 19y = 120,2x + 18y = 68,7,3
15x + 15y = 60,16x + 14y = 60,2,2
3x + 10y = 65,17x + 8y = 125,5,5
2x + 12y = 56,2x + 18y = 80,4,4
x + 10y = 44,12x + 16y = 112,4,4
11x + 8y = 46,10x + 13y = 59,2,3
3x + 10y = 85,x + 11y = 82,5,7
x + 8y = 65,4x + 6y = 78,9,7
10x - 11y = -18,16x + 10y = 192,7,8
x + 8y = 70,20x + 9y = 192,6,8
18x + 9y = 207,9x + 15y = 51,14,-5
15x + 18y = 282,3x + 7y = 87,8,9
2x - 12y = -52,6x + 12y = 132,10,6
14x + 16y = 14,19x + 20y = 31,9,-7
2x - 13y = -160,10x + 18y = 362,11,14
7x + 9y = 74,20x + y = 162,8,2
4x + 14y = 136,8x + 20y = 208,6,8
20x + 9y = 53,10x + 3y = 31,4,-3
4x + 17y = 138,4x + 4y = 60,9,6
19x - 8y = 189,12x + 11y = 312,15,12
15x + 13y = 254,7x + 8y = 134,10,8
4x + 19y = -101,12x + 5y = 61,8,-7
7x + 8y = -2,10x + 20y = -20,2,-2
20x + 6y = 146,17x + 7y = 126,7,1
20x + 5y = 185,10x + 2y = 92,9,1
6x + 16y = 180,3x + 6y = 72,6,9
18x - 3y = 60,19x + 14y = 235,5,10
2x - 2y = 16,9x + 15y = 168,12,4
19x - 4y = 167,8x + 5y = 77,9,1
6x + 12y = -42,6x + 3y = 48,13,-10
17x + 4y = 71,3x + 17y = 94,3,5
13x + 11y = 183,19x + 11y = 237,9,6
5x + 3y = 22,x + 11y = 46,2,4
6x + 6y = 114,10x + 19y = 271,10,9
16x + 2y = 82,12x + 10y = 70,5,1
15x + 11y = 70,11x + 3y = 26,1,5
8x + 8y = 64,17x + 7y = 126,7,1
18x + 18y = 198,17x + 5y = 91,3,8
8x + 20y = 144,7x + 4y = 72,8,4
13x + 3y = 95,7x + 14y = 175,5,10
17x + 11y = 208,18x + 11y = 217,9,5
15x + 20y = 220,6x + 17y = 160,4,8
9x + 9y = 63,18x + 3y = 201,12,-5
8x + 19y = 141,11x + 5y = 46,1,7
14x + 12y = 32,18x + 6y = 126,10,-9
10x + 17y = 173,2x + 18y = 166,2,9
15x - 9y = 171,4x + 11y = 126,15,6
12x + 18y = -12,4x + 17y = -92,11,-8
15x + 20y = 185,19x + 14y = 155,3,7
11x + 5y = 81,20x + 5y = 135,6,3
20x - 11y = 169,6x + 8y = 62,9,1
17x + 18y = 158,9x + 11y = 91,4,5
7x + 9y = 62,20x + 9y = 244,14,-4
6x + 7y = 40,8x + 18y = 88,2,4
10x + 9y = 95,9x + 18y = 135,5,5
6x - 11y = -25,14x + 6y = 100,5,5
3x - 10y = -94,9x + 20y = 218,2,10
5x + 16y = -94,7x + 17y = -83,10,-9
10x + 5y = 135,15x + 5y = 180,9,9
19x + 5y = 153,15x + 17y = 173,7,4
2x - 8y = -14,10x + 20y = 50,1,2
